,nodeA,nodeB,weight
0,George Washington,John Adams,1
1,George Washington,James Monroe,1
2,Andrew Jackson,George Washington,1
3,George Washington,Jackson,1
4,George Washington,William Henry Harrison,1
5,George Washington,Harrison,1
6,George Washington,John Tyler's,1
7,George Washington,Zachary Taylor,1
8,Franklin Pierce,George Washington,1
9,George Washington,James Garfield,1
10,George Washington,Woodrow Wilson,1
11,George Washington,Herbert Hoover,1
12,Franklin D. Roosevelt,George Washington,1
13,George Washington,John F. Kennedy,1
14,George Washington,Jimmy Carter,1
15,Carter,George Washington,1
16,George Washington,Ronald Reagan,2
17,George Washington,Reagan,1
18,George H.W. Bush,George Washington,2
19,Bill Clinton,George Washington,1
20,George W. Bush,George Washington,1
21,George Washington,Saddam Hussein,1
22,Barack Obama,George Washington,1
23,James Monroe,John Adams,1
24,Andrew Jackson,John Adams,1
25,Jackson,John Adams,1
26,John Adams,William Henry Harrison,1
27,Harrison,John Adams,1
28,John Adams,John Tyler's,1
29,John Adams,Zachary Taylor,1
30,Franklin Pierce,John Adams,1
31,James Garfield,John Adams,1
32,John Adams,Woodrow Wilson,1
33,Herbert Hoover,John Adams,1
34,Franklin D. Roosevelt,John Adams,1
35,John Adams,John F. Kennedy,1
36,Jimmy Carter,John Adams,1
37,Carter,John Adams,1
38,John Adams,Ronald Reagan,2
39,John Adams,Reagan,1
40,George H.W. Bush,John Adams,2
41,Bill Clinton,John Adams,1
42,George W. Bush,John Adams,1
43,John Adams,Saddam Hussein,1
44,Barack Obama,John Adams,1
45,Andrew Jackson,James Monroe,1
46,Jackson,James Monroe,1
47,James Monroe,William Henry Harrison,1
48,Harrison,James Monroe,1
49,James Monroe,John Tyler's,1
50,James Monroe,Zachary Taylor,1
51,Franklin Pierce,James Monroe,1
52,James Garfield,James Monroe,1
53,James Monroe,Woodrow Wilson,1
54,Herbert Hoover,James Monroe,1
55,Franklin D. Roosevelt,James Monroe,1
56,James Monroe,John F. Kennedy,1
57,James Monroe,Jimmy Carter,1
58,Carter,James Monroe,1
59,James Monroe,Ronald Reagan,2
60,James Monroe,Reagan,1
61,George H.W. Bush,James Monroe,2
62,Bill Clinton,James Monroe,1
63,George W. Bush,James Monroe,1
64,James Monroe,Saddam Hussein,1
65,Barack Obama,James Monroe,1
66,Andrew Jackson,Jackson,1
67,Andrew Jackson,William Henry Harrison,1
68,Andrew Jackson,Harrison,1
69,Andrew Jackson,John Tyler's,1
70,Andrew Jackson,Zachary Taylor,1
71,Andrew Jackson,Franklin Pierce,1
72,Andrew Jackson,James Garfield,1
73,Andrew Jackson,Woodrow Wilson,1
74,Andrew Jackson,Herbert Hoover,1
75,Andrew Jackson,Franklin D. Roosevelt,1
76,Andrew Jackson,John F. Kennedy,1
77,Andrew Jackson,Jimmy Carter,1
78,Andrew Jackson,Carter,1
79,Andrew Jackson,Ronald Reagan,2
80,Andrew Jackson,Reagan,1
81,Andrew Jackson,George H.W. Bush,2
82,Andrew Jackson,Bill Clinton,1
83,Andrew Jackson,George W. Bush,1
84,Andrew Jackson,Saddam Hussein,1
85,Andrew Jackson,Barack Obama,1
86,Jackson,William Henry Harrison,1
87,Harrison,Jackson,1
88,Jackson,John Tyler's,1
89,Jackson,Zachary Taylor,1
90,Franklin Pierce,Jackson,1
91,Jackson,James Garfield,1
92,Jackson,Woodrow Wilson,1
93,Herbert Hoover,Jackson,1
94,Franklin D. Roosevelt,Jackson,1
95,Jackson,John F. Kennedy,1
96,Jackson,Jimmy Carter,1
97,Carter,Jackson,1
98,Jackson,Ronald Reagan,2
99,Jackson,Reagan,1
100,George H.W. Bush,Jackson,2
101,Bill Clinton,Jackson,1
102,George W. Bush,Jackson,1
103,Jackson,Saddam Hussein,1
104,Barack Obama,Jackson,9
105,Harrison,William Henry Harrison,1
106,John Tyler's,William Henry Harrison,1
107,William Henry Harrison,Zachary Taylor,1
108,Franklin Pierce,William Henry Harrison,1
109,James Garfield,William Henry Harrison,1
110,William Henry Harrison,Woodrow Wilson,1
111,Herbert Hoover,William Henry Harrison,1
112,Franklin D. Roosevelt,William Henry Harrison,1
113,John F. Kennedy,William Henry Harrison,1
114,Jimmy Carter,William Henry Harrison,1
115,Carter,William Henry Harrison,1
116,Ronald Reagan,William Henry Harrison,2
117,Reagan,William Henry Harrison,1
118,George H.W. Bush,William Henry Harrison,2
119,Bill Clinton,William Henry Harrison,1
120,George W. Bush,William Henry Harrison,1
121,Saddam Hussein,William Henry Harrison,1
122,Barack Obama,William Henry Harrison,1
123,Harrison,John Tyler's,1
124,Harrison,Zachary Taylor,1
125,Franklin Pierce,Harrison,1
126,Harrison,James Garfield,1
127,Harrison,Woodrow Wilson,1
128,Harrison,Herbert Hoover,1
129,Franklin D. Roosevelt,Harrison,1
130,Harrison,John F. Kennedy,1
131,Harrison,Jimmy Carter,1
132,Carter,Harrison,1
133,Harrison,Ronald Reagan,2
134,Harrison,Reagan,1
135,George H.W. Bush,Harrison,2
136,Bill Clinton,Harrison,1
137,George W. Bush,Harrison,1
138,Harrison,Saddam Hussein,1
139,Barack Obama,Harrison,1
140,John Tyler's,Zachary Taylor,1
141,Franklin Pierce,John Tyler's,1
142,James Garfield,John Tyler's,1
143,John Tyler's,Woodrow Wilson,1
144,Herbert Hoover,John Tyler's,1
145,Franklin D. Roosevelt,John Tyler's,1
146,John F. Kennedy,John Tyler's,1
147,Jimmy Carter,John Tyler's,1
148,Carter,John Tyler's,1
149,John Tyler's,Ronald Reagan,2
150,John Tyler's,Reagan,1
151,George H.W. Bush,John Tyler's,2
152,Bill Clinton,John Tyler's,1
153,George W. Bush,John Tyler's,1
154,John Tyler's,Saddam Hussein,1
155,Barack Obama,John Tyler's,1
156,Franklin Pierce,Zachary Taylor,1
157,James Garfield,Zachary Taylor,1
158,Woodrow Wilson,Zachary Taylor,1
159,Herbert Hoover,Zachary Taylor,1
160,Franklin D. Roosevelt,Zachary Taylor,1
161,John F. Kennedy,Zachary Taylor,1
162,Jimmy Carter,Zachary Taylor,1
163,Carter,Zachary Taylor,1
164,Ronald Reagan,Zachary Taylor,2
165,Reagan,Zachary Taylor,1
166,George H.W. Bush,Zachary Taylor,2
167,Bill Clinton,Zachary Taylor,1
168,George W. Bush,Zachary Taylor,1
169,Saddam Hussein,Zachary Taylor,1
170,Barack Obama,Zachary Taylor,1
171,Franklin Pierce,James Garfield,1
172,Franklin Pierce,Woodrow Wilson,1
173,Franklin Pierce,Herbert Hoover,1
174,Franklin D. Roosevelt,Franklin Pierce,1
175,Franklin Pierce,John F. Kennedy,1
176,Franklin Pierce,Jimmy Carter,1
177,Carter,Franklin Pierce,1
178,Franklin Pierce,Ronald Reagan,2
179,Franklin Pierce,Reagan,1
180,Franklin Pierce,George H.W. Bush,2
181,Bill Clinton,Franklin Pierce,1
182,Franklin Pierce,George W. Bush,1
183,Franklin Pierce,Saddam Hussein,1
184,Barack Obama,Franklin Pierce,1
185,James Garfield,Woodrow Wilson,1
186,Herbert Hoover,James Garfield,1
187,Franklin D. Roosevelt,James Garfield,1
188,James Garfield,John F. Kennedy,1
189,James Garfield,Jimmy Carter,1
190,Carter,James Garfield,1
191,James Garfield,Ronald Reagan,2
192,James Garfield,Reagan,1
193,George H.W. Bush,James Garfield,2
194,Bill Clinton,James Garfield,1
