,collocate,raw_freq,mi
0,the,67,2.531837161885471
1,board,2,5.724865911791774
2,and,13,1.2917027675956974
3,golden,1,5.130658679086732
4,to,11,1.2148030276384096
5,a,12,1.6451814253779893
6,from,3,1.9978346917134613
7,latch,1,7.879530874709197
8,I,2,-0.07677071526756538
9,rose,1,3.6028647556931417
10,duplicate,1,8.572678055269142
11,for,1,0.10331049333550979
12,this,1,0.9700271251929434
13,was,4,1.0264628008142573
14,If,1,2.421542379802524
15,upon,1,1.6080699646942227
16,historical,1,7.879530874709197
17,him,1,0.3810072692878665
18,by,1,0.8827350289363307
19,hole,4,6.740096591520833
20,of,10,1.2198203751403436
21,no,1,1.0707675449340106
22,The,2,1.7252037071719355
23,is,2,1.1069511964640721
24,A,2,3.0811610137799685
25,turned,5,4.473345951536003
26,harmonious,1,7.3940230589274965
27,Earnest,1,9.958972416389033
28,low,1,3.7998770278971
29,she,1,0.1631257553702967
30,pure,1,4.760475385123208
31,with,1,0.06432381252010957
32,in,11,1.8951939415254475
33,Ask,1,6.493236513589307
34,small,1,3.379721204378932
35,attached,1,5.516321159898717
36,You,1,1.703923513636738
37,right,1,2.593159579179561
38,grated,1,8.349534503954933
39,door,7,4.65994101910734
40,on,1,0.5086707081724814
41,at,2,0.9962604174074583
42,harshest,1,8.860360127720924
43,complete,1,5.267624534159889
44,when,1,1.1443448610783364
45,large,2,4.290817119375983
46,except,1,3.8586534643689694
47,out,3,2.4211872661624287
48,strode,1,6.2954107702593864
49,Is,1,3.6098334250092354
50,neither,1,3.722602826185329
51,nor,1,3.1035636177791055
52,treble,1,7.068600658492868
53,until,1,3.409321674155223
54,under,1,2.7444680022378893
55,Dolly,1,7.186383694149252
56,bugles,1,7.3940230589274965
57,note,2,5.134666700484271
58,bugle,1,7.3940230589274965
59,gently,1,4.738616591310708
60,harsh,1,5.800089333029361
61,her,1,-0.23400806800283844
62,She,1,1.3728130205080729
63,Their,1,5.099160012027361
64,that,1,-0.34744369660326235
65,now,1,1.5143499178076312
66,his,1,-0.19192193959698384
67,It,1,1.459535946562055
68,notes,1,5.516321159898717
69,Then,1,2.740795577985626
70,reasonable,1,6.152309926618713
71,turn,2,4.228872633415459
72,same,2,3.6159711031984423
73,as,1,0.051891328342775
74,gold,1,4.367985435878176
75,will,1,1.3345404743031972
76,As,1,2.981691074758286
77,taken,1,3.141141844934883
78,into,1,1.6409621388421622
79,Mr,1,1.085364314839923
80,On,1,3.663706414949387
81,secretly,1,6.245400349684726
82,Why,1,3.000524023091378
83,s,1,0.19900887393894767
